blast_taxonomy	observation_sum	ADT-ST-ISS-XXX-01-A	ADT-ST-ISS-XXX-01-B	ADT-ST-ISS-XXX-01-C	ADT-ST-ISS-XXX-02-A	ADT-ST-ISS-XXX-02-B	ADT-ST-ISS-XXX-03-A	ADT-ST-ISS-XXX-04-A	ADT-ST-ISS-XXX-05-A	ADT-ST-ISS-XXX-06-A	ADT-ST-ISS-XXX-07-A	ADT-ST-ISS-XXX-07-B	ADT-ST-ISS-XXX-08-A	ADT-ST-ISS-XXX-08-B	ADT-ST-ISS-XXX-09-A	ADT-ST-ISS-XXX-10-A	ADT-ST-ISS-XXX-10-B	BL-AEST01157-A	BL-AEST01191-A	BL-AEST01286-A	BL-AEST01286-C	BL-AEST01308-A	BL-AEST01404-A	BL-AEST01475-A	BL-PUREE0001-A	BL-PUREE0001-B	BL-PUREE0001-C	BL-PUREE0002-A	CH-AEST01155-A	CH-AEST01155-B	CH-AEST01189-A	CH-AEST01284-A	CH-AEST01306-A	CH-AEST01402-A	CH-AEST01402-B	CH-AEST01473-A	CH-AEST01473-C	CH-PUREE0001-B	CTL-DN-MOC-COM-02-B	CTL-NO-DNA-PCR-XX-A	CTL-NO-DNA-PCR-XX-B	CTL-NO-DNA-PCR-XX-C	CTL-XX-DNA-EXT-01-A	CTL-XX-LRV-COI-01-A	CTL-XX-LRV-COI-01-C	CTL-XX-LRV-COI-02-A	CTL-XX-LRV-COI-02-B	CTL-XX-WAT-LRV-01-A	CTL-XX-WAT-LRV-02-A	CTM-ST-ISS-XXX-02-C	CTM-ST-ISS-XXX-04-C	FRT-BL-CAR-UNF-XX-A	FRT-BL-CAR-UNO-XX-A	FRT-BL-ISL-UNF-XX-A	FRT-BL-ISL-UNF-XX-C	FRT-BL-ISL-UNO-XX-A	FRT-BL-MAZ-INF-01-A	FRT-BL-MAZ-INF-01-B	FRT-BL-MAZ-INF-02-A	FRT-BL-MAZ-UNF-01-A	FRT-BL-MAZ-UNF-02-A	FRT-BL-MAZ-UNF-03-A	FRT-BL-MAZ-UNF-03-B	FRT-BL-MAZ-UNF-04-A	FRT-BL-MAZ-UNF-04-B	FRT-ST-ISS-IND-XX-A	FRT-ST-ISS-IND-XX-B	FRT-ST-ISS-IND-XX-C	FRT-ST-ISS-INM-XX-A	FRT-ST-ISS-UNF-01-A	FRT-ST-ISS-UNF-01-C	FRT-ST-ISS-UNF-02-A	FRT-ST-ISS-UNF-02-C	FRT-ST-ISS-UNF-03-A	FRT-ST-ISS-UNF-04-A	FRT-ST-ISS-UNF-05-A	FRT-ST-ISS-UNF-06-A	FRT-ST-ISS-UNF-XX-A	FRT-ST-ISS-UNO-XX-A	FRT-ST-ISS-UNO-XX-C	FRT-ST-MAZ-UNF-01-A	FRT-ST-MAZ-UNF-02-A	FRT-ST-MAZ-UNF-02-B	FRT-ST-MAZ-UNF-03-A	FRT-ST-MAZ-UNF-04-A	FRT-ST-MAZ-UNF-04-C	FRT-ST-MAZ-UNF-05-A	FRT-ST-MAZ-UNF-05-C	LRV-BB-MAZ-XXX-01-A	LRV-BB-MAZ-XXX-01-C	LRV-BB-MAZ-XXX-02-A	LRV-BB-MAZ-XXX-02-C	LRV-BB-MAZ-XXX-03-A	LRV-BB-MAZ-XXX-03-C	LRV-ST-ISS-XXX-01-A	LRV-ST-ISS-XXX-02-A	LRV-ST-ISS-XXX-02-C	NC-Index1189	NC-Index1191	NC-Index1195	NC-Index1198	NC-Index1199	NC-Index1200	NC-Index290	NC-Index302	NC-Index314	NC-Index326	NC-Index338	NC-Index350	NC-Index362	NC-Index410	NC-Index411	NC-Index415	NC-Index419	NC-Index608	NC-Index817	NC-Index819	NC-Index820	NC-Index822	NC-Index823	NC-Index827	NC-Index828	NC-Index841	NC-Index842	NC-Index843	NC-Index844	NC-Index846	NC-Index848	NC-Index850	NC-Index851	NC-Index852	NC-Index853	NC-Index854	NC-Index855	NC-Index856	NC-Index859	NC-Index860	NC-Index862	NC-Index863	PUC-ST-ISS-XXX-01-A	PUC-ST-ISS-XXX-01-C	PUC-ST-ISS-XXX-02-A	PUC-ST-ISS-XXX-02-C	PUC-ST-ISS-XXX-03-A	PUC-ST-ISS-XXX-03-C	PUC-ST-ISS-XXX-04-A	PUC-ST-ISS-XXX-04-B	PUC-ST-ISS-XXX-05-A	PUC-ST-ISS-XXX-05-C	PUC-ST-ISS-XXX-06-A	PUC-ST-ISS-XXX-07-A	PUC-ST-ISS-XXX-08-A	PUC-ST-ISS-XXX-08-C	PUC-ST-ISS-XXX-09-A	PUC-ST-ISS-XXX-09-C	PUC-ST-ISS-XXX-10-A	PUC-ST-ISS-XXX-10-C	PUP-ST-ISS-XXX-01-A	PUP-ST-ISS-XXX-01-C	PUP-ST-ISS-XXX-02-A	PUP-ST-ISS-XXX-03-A	PUP-ST-ISS-XXX-03-B	PUP-ST-ISS-XXX-04-A	PUP-ST-ISS-XXX-04-C	PUP-ST-ISS-XXX-05-A	PUP-ST-ISS-XXX-06-A	PUP-ST-ISS-XXX-07-A	PUP-ST-ISS-XXX-08-A	PUP-ST-ISS-XXX-08-C	PUP-ST-ISS-XXX-09-A	PUP-ST-ISS-XXX-09-B	PUP-ST-ISS-XXX-10-A	PUP-ST-ISS-XXX-10-B	PUP-ST-ISS-XXX-11-A	PUP-ST-ISS-XXX-11-B	PUP-ST-ISS-XXX-12-A	PUP-ST-ISS-XXX-12-B	ST-AEST01156-A	ST-AEST01156-B	ST-AEST01190-A	ST-AEST01285-A	ST-AEST01307-A	ST-AEST01403-A	ST-AEST01474-A	ST-AEST01474-B	ST-PUREE0001-A	ST-PUREE0001-C	ST-PUREE0002-A	Undetermined
Arthropoda;Branchiopoda;Anostraca;Artemiidae;unclassified;Artemia;Artemia_parthenogenetica	1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1085	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
Arthropoda;Insecta;Coleoptera;Coccinellidae;Coccinellinae;Harmonia;Harmonia_axyridis	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Arthropoda;Insecta;Coleoptera;Nitidulidae;Carpophilinae;Carpophilus;Carpophilus_brachypterus	2105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165
Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_melanogaster	4253	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	0	3381	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183
Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	142985	7362	2	1	9379	1	10518	11909	1380	8454	1255	0	13496	2	2314	9257	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	487	0	3622	0	1	31	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	30	0	1	0	0	0	0	0	18	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	2	0	0	7	0	26	1	0	0	9	0	0	0	0	7	1	5	1	4	3	10	0	6	0	0	0	3	3	14	0	0	0	0	5	0	16	15	0	0	0	0	0	5	1	0	1	0	0	0	0	3	0	10	0	2	1	28	0	3	0	31	57	4	0	13	0	8	0	6108	0	7865	5008	1	7928	2	2493	8317	7574	693	0	6447	1	1349	1	1485	1	1487	1	0	0	0	0	0	0	0	0	0	0	0	6387
Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	109477	79	0	0	0	0	0	48	3354	5504	2171	1	113	0	0	0	0	3602	4548	1848	1	1505	1989	3064	10	0	0	33	7088	0	9486	5047	5911	8145	0	5292	1	1	0	1	0	1	0	667	0	1939	0	0	47	0	0	31	1	15	0	0	115	0	379	25	612	333	1	288	0	0	2	1	6	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	4162	1	214	1	2175	1	399	754	0	1	0	0	5	3	0	0	0	7	3	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	2	0	0	0	0	12	2	0	0	0	0	4	0	0	4	1	0	0	0	1	0	2	1	0	2	0	3	5	0	0	0	0	0	0	4	0	0	47	1	25	0	920	25	131	1627	1	3	0	733	0	1601	0	1994	0	1972	0	2706	1706	1416	2828	4664	0	0	0	15	5975
Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_yakuba	63	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Arthropoda;Insecta;Diptera;Tephritidae;Dacinae;Ceratitis;Ceratitis_capitata	8	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Arthropoda;Insecta;Lepidoptera;Pyralidae;Phycitinae;Ephestia;Ephestia_kuehniella	4759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	99	0	26	0	0	0	0	0	0	0	0	0	3	0	4	0	58	0	46	4126	0	143	0	12	4	6	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	217
Arthropoda;Insecta;Thysanoptera;Thripidae;Thripinae;Frankliniella;Frankliniella_occidentalis	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	3	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
