#observation_name	blast_taxonomy	 blast_subject	blast_perc_identity	blast_perc_query_coverage	blast_evalue	blast_aln_length
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2762550	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2553825	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2615363	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2553854	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2615361	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	3621369	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2615339	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2553852	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2553818	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2615362	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	1693577	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	1693580	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2762547	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2615660	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2615348	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2553853	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2553817	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2553851	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	1769087	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	3621368	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	2169336	100.0	100.0	7.91e-64	133
Cluster_1	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_simulans	1693684	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	8397899	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148316	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148208	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148009	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148217	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148178	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	4584502	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148250	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148040	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	1177413	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148847	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3147991	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	8397894	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148209	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148039	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148940	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148972	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148229	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	8397919	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148025	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148262	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3147989	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3126197	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148915	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148903	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148015	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148239	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148867	100.0	100.0	7.91e-64	133
Cluster_2	Arthropoda;Insecta;Diptera;Drosophilidae;Drosophilinae;Drosophila;Drosophila_suzukii	3148186	100.0	100.0	7.91e-64	133
