#observation_name	blast_taxonomy	 blast_subject	blast_perc_identity	blast_perc_query_coverage	blast_evalue	blast_aln_length
Cluster_1	Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;unknown family;unknown genus;Cistanche deserticola	KC128846.13807.15294	100.0	99.60159362549801	4.89e-129	250
Cluster_1	Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;unknown family;unknown genus;Neottia nidus-avis	JF325876.52953.54442	100.0	99.60159362549801	4.89e-129	250
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter sp.	CP030871.1724208.1725708	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter sp.	CP030871.2475764.2477264	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter sp.	CP030871.2183692.2185192	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter sp.	CP030871.1561623.1563123	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter sp.	CP030871.2631103.2632603	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter sp.	AB680050.1.1413	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter sp.	AB680051.1.1413	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter sp.	LC103254.1.1422	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter sp.	GQ359861.1.1389	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus	BACG01000075.353.1820	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus	CP012111.278024.279524	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus	CADO01000072.353.1820	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus	CP012111.713863.715363	100.0	100.0	1.36e-129	251
Cluster_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus	CP012111.534454.535954	100.0	100.0	1.36e-129	251
